Source_ID,Title,Publisher,Source_type,URL,Evidence_used,Source_confidence,Downloaded_file
S001,Asian Transport Observatory Urban Profiles portal,ATO/ADB,Portal,https://asiantransportobservatory.org/analytical-outputs/urbanprofiles/,"ATO explains that Urban Profiles compile city-specific documents, policies, and reputable secondary data; 40 urban profiles are available.",High,
S002,"Bandung Urban Transport Sector Profile, December 2024",Asian Transport Observatory,PDF,https://asiantransportobservatory.org/documents/246/Bandung_transport_sector_profile.pdf,Bandung has no rapid transit system; private modes account for 95% of trips; road km and rapid transit infrastructure reported.,High,sources/raw_downloads/ATO_Bandung_transport_sector_profile_2024.pdf
S003,"Jakarta Urban Transport Sector Profile, December 2024",Asian Transport Observatory,PDF,https://asiantransportobservatory.org/documents/271/Jakarta_transport_sector_profile.pdf,"Jakarta rapid transit infrastructure: BRT 231 km, LRT 6 km, Metro 16 km, total 253 km; approximate transit coverage 9%.",High,sources/raw_downloads/ATO_Jakarta_transport_sector_profile_2024.pdf
S004,"Medan Urban Transport Sector Profile, December 2024",Asian Transport Observatory,PDF,https://asiantransportobservatory.org/documents/263/Medan_transport_sector_profile.pdf,Medan has no BRT/LRT/Metro rapid transit in the ATO profile; road km reported.,High,sources/raw_downloads/ATO_Medan_transport_sector_profile_2024.pdf
S005,"Kuala Lumpur Urban Transport Sector Profile, December 2024",Asian Transport Observatory,PDF,https://asiantransportobservatory.org/documents/266/Kuala_Lumpur_transport_sector_profile.pdf,"Kuala Lumpur rapid transit infrastructure: BRT 5 km, LRT 99 km, Metro 152 km, total 256 km; approximate transit coverage 16%.",High,sources/raw_downloads/ATO_Kuala_Lumpur_transport_sector_profile_2024.pdf
S006,"Davao City Urban Transport Sector Profile, December 2024",Asian Transport Observatory,PDF,https://asiantransportobservatory.org/documents/279/Davao_City_transport_sector_profile.pdf,Davao City has no BRT/LRT/Metro rapid transit in the ATO profile; road km reported; private vehicles dominate trips.,High,sources/raw_downloads/ATO_Davao_City_transport_sector_profile_2024.pdf
S007,"Metro Manila Urban Transport Sector Profile, December 2024",Asian Transport Observatory,PDF,https://asiantransportobservatory.org/documents/262/Metro_Manila_transport_sector_profile.pdf,"Metro Manila rapid transit infrastructure: BRT 24 km, Metro 52 km, total 76 km; approximate transit coverage 5%.",High,sources/raw_downloads/ATO_Metro_Manila_transport_sector_profile_2024.pdf
S008,"Bangkok Urban Transport Sector Profile, December 2024",Asian Transport Observatory,PDF,https://asiantransportobservatory.org/documents/245/Bangkok_transport_sector_profile.pdf,"Bangkok rapid transit infrastructure: BRT 12 km, Metro 97 km, total 108 km; approximate transit coverage 5%.",High,sources/raw_downloads/ATO_Bangkok_transport_sector_profile_2024.pdf
S009,"Hanoi Urban Transport Sector Profile, December 2024",Asian Transport Observatory,PDF,https://asiantransportobservatory.org/documents/274/Hanoi_transport_sector_profile.pdf,"Hanoi has 36 km of rapid transit lines operational by 2023, including BRT 23 km and metro 13 km; private modes account for 91% of trips.",High,sources/raw_downloads/ATO_Hanoi_transport_sector_profile_2024.pdf
S010,Indonesia Mass Transit Project (P169548),World Bank,PDF/TXT,https://documents1.worldbank.org/curated/en/099400101242216348/pdf/Project0Inform0t0Project000P169548.pdf,"Jakarta and Bandung have public transport modal share around 10%; Bandung daily trips: motorcycles 62%, public transport 9%; Medan/Mebidang public transport share about 6%.",High,sources/raw_downloads/WorldBank_Indonesia_Mass_Transit_Project_P169548_2022.txt
S011,LTA Intelligent Transport Systems: GLIDE and TMCS,Land Transport Authority Singapore,HTML,https://www.lta.gov.sg/content/ltagov/en/getting_around/driving_in_singapore/intelligent_transport_systems.html,"GLIDE controls all traffic signals in Singapore and links adjacent signals; TMCS has around 1,100 traffic cameras.",High,
S012,Employed residents by usual mode of transport to work,data.gov.sg / SingStat,Dataset,https://data.gov.sg/datasets/d_eb11847db6d75a494f4e608c6cfa4a8f/view,Usual mode of transport to work dataset for Singapore residents.,High,
S013,MyRapid official service website,Prasarana Malaysia Berhad,HTML,https://myrapid.com.my/,"Official service website for Rapid KL, Rapid Penang, and Rapid Kuantan; supports MRT/LRT/Monorail/BRT/bus evidence.",High,
S014,BAS.MY Johor Bahru route and supply page,BAS.MY / APAD initiative,HTML,https://bas.my/basmyjohorbahru.php,"Johor Bahru BAS.MY: 21 routes, 559.0 km coverage, 162 buses.",High,
S015,BAS.MY Ipoh route and supply page,BAS.MY / APAD initiative,HTML,https://bas.my/basmyipoh.php,"Ipoh BAS.MY: 16 routes, 442.8 km coverage, 51 buses.",High,
S016,BAS.MY official portal,BAS.MY / APAD initiative,HTML,https://bas.my/basmy.php,"BAS.MY lists Kota Bharu, Ipoh, Johor Bahru and other Peninsular Malaysia urban bus services.",Medium,
S017,Kuala Lumpur Command & Control Centre / DBKL,DBKL,HTML,https://klccc.dbkl.gov.my/about-us/,KLCCC is the operational arm of the Traffic Management Centre under DBKL and collects/manages/disseminates real-time traffic information.,High,
