Country,City,Variable,Assigned_value,Source_ID,Source_title,Source_URL,Evidence_summary,Confidence
Indonesia,Bandung,Public transport supply,1,S002,"Bandung Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/246/Bandung_transport_sector_profile.pdf,Low formal PT use; no rapid transit; BRT being explored.,High
Indonesia,Bandung,Public transport supply,1,S010,Indonesia Mass Transit Project (P169548),https://documents1.worldbank.org/curated/en/099400101242216348/pdf/Project0Inform0t0Project000P169548.pdf,Low formal PT use; no rapid transit; BRT being explored.,High
Indonesia,Bandung,Signal/ITS,2,S033,Bandung ATCS,https://atcs-dishub.bandung.go.id/,ATCS evidence for city traffic control.,Medium
Indonesia,Jakarta,Public transport supply,3,S003,"Jakarta Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/271/Jakarta_transport_sector_profile.pdf,"Large rapid transit network: BRT 231 km, LRT 6 km, Metro 16 km.",High
Indonesia,Jakarta,Public transport supply,3,S010,Indonesia Mass Transit Project (P169548),https://documents1.worldbank.org/curated/en/099400101242216348/pdf/Project0Inform0t0Project000P169548.pdf,"Large rapid transit network: BRT 231 km, LRT 6 km, Metro 16 km.",High
Indonesia,Jakarta,Signal/ITS,2,S033,Bandung ATCS,https://atcs-dishub.bandung.go.id/,Partial/major-city ITS/ATCS evidence; not all signals quantified.,Medium
Indonesia,Medan,Public transport supply,1,S004,"Medan Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/263/Medan_transport_sector_profile.pdf,No rapid transit; World Bank reports Mebidang PT share about 6%.,High
Indonesia,Medan,Public transport supply,1,S010,Indonesia Mass Transit Project (P169548),https://documents1.worldbank.org/curated/en/099400101242216348/pdf/Project0Inform0t0Project000P169548.pdf,No rapid transit; World Bank reports Mebidang PT share about 6%.,High
Indonesia,Medan,Signal/ITS,1,S033,Bandung ATCS,https://atcs-dishub.bandung.go.id/,Basic or limited ATCS/ITS evidence; verify city-specific deployment.,Low
Indonesia,Palembang,Public transport supply,2,S031,Palembang LRT project,https://www.smec.com/project/palembang-light-rail-transit/,LRT gives one rapid-transit mode; no comparable PT mode-share found.,Medium
Indonesia,Palembang,Signal/ITS,1,S033,Bandung ATCS,https://atcs-dishub.bandung.go.id/,Weak ATCS/public evidence; treat as low-confidence proxy.,Low
Indonesia,Surabaya,Public transport supply,1,S032,Surabaya Suroboyo Bus / Teman Bus,https://tourism.surabaya.go.id/transportation/detail/suroboyo-bus,"Formal bus services, but no rapid transit in current proxy table.",Medium
Indonesia,Surabaya,Signal/ITS,1,S034,Surabaya GOBIS / real-time bus app,https://gobis.surabaya.go.id/,Basic real-time bus operations / local traffic management evidence only.,Low
Malaysia,George Town,Public transport supply,1,S013,MyRapid official service website,https://myrapid.com.my/,Rapid Penang/Prasarana service evidence; no urban rail/BRT included.,Medium
