Country,City,PT_mode_share_pct,Rapid_transit_length_km,PT_supply_score_0_3,ITS_signal_score_0_3,PT_evidence_summary,ITS_evidence_summary,PT_source_ids,ITS_source_ids,PT_confidence,ITS_confidence,Notes
Indonesia,Bandung,10,0,1,2,Low formal PT use; no rapid transit; BRT being explored.,ATCS evidence for city traffic control.,S002; S010,S033,High,Medium,"Use PT share around 10% from World Bank for Jakarta/Bandung; ATO Google EIE reports 1% PT, so keep method note."
Indonesia,Jakarta,10,253,3,2,"Large rapid transit network: BRT 231 km, LRT 6 km, Metro 16 km.",Partial/major-city ITS/ATCS evidence; not all signals quantified.,S003; S010,S033,High,Medium,PT score high due rapid transit total 253 km; exact mode-share sources vary.
Indonesia,Medan,6,0,1,1,No rapid transit; World Bank reports Mebidang PT share about 6%.,Basic or limited ATCS/ITS evidence; verify city-specific deployment.,S004; S010,S033,High,Low,"PT share from Mebidang functional area, not strict city-proper."
Indonesia,Palembang,,23.4,2,1,LRT gives one rapid-transit mode; no comparable PT mode-share found.,Weak ATCS/public evidence; treat as low-confidence proxy.,S031,S033,Medium,Low,Need official Palembang transport department source if available.
Indonesia,Surabaya,,0,1,1,"Formal bus services, but no rapid transit in current proxy table.",Basic real-time bus operations / local traffic management evidence only.,S032,S034,Medium,Low,"If later including planned rail/BRT, separate current and planned supply."
Malaysia,George Town,,0,1,1,Rapid Penang/Prasarana service evidence; no urban rail/BRT included.,National/Malaysian ITS context only; no strong city-specific signal coordination found in this pass.,S013,S018,Medium,Low,Public transport score is bus-based; consider adding Penang Transport Master Plan later.
Malaysia,Ipoh,,0,1,0,"BAS.MY Ipoh: 16 routes, 442.8 km coverage, 51 buses.",No clear city-specific ITS/signal coordination evidence located.,S015,S018,High,Low,ITS score deliberately conservative despite national ITS framework.
Malaysia,Johor Bahru,,0,1,0,"BAS.MY Johor Bahru: 21 routes, 559.0 km coverage, 162 buses.",No clear city-specific ITS/signal coordination evidence located.,S014,S018,High,Low,Future RTS Link is not counted as current rapid transit supply.
Malaysia,Kajang,,51,2,1,MRT/LRT commuter-rail access through Greater Kuala Lumpur; treated as rapid-transit accessible urban node.,"Klang Valley / national ITS context, but no Kajang-specific signal percentage.",S013; S005,S018,Medium,Low,Rapid transit length uses Greater KL/Kajang Line proxy; not standalone Kajang network.
Malaysia,Kota Bharu,,0,1,0,BAS.MY/Kota Bharu bus service listed through national BAS.MY portal.,No clear city-specific ITS/signal coordination evidence located.,S016,S018,Medium,Low,Need stronger local operator/source if used heavily in discussion.
Malaysia,Kuala Lumpur,4,256,3,3,ATO reports 256 km rapid transit; Google EIE PT mode share 4%; rich multimodal system.,DBKL KLCCC/TMC and Malaysian ITS/ITIS evidence support advanced score.,S005; S013,S017; S018,High,High,Use as high-capacity but congestion-intensive reference city.
Malaysia,Seberang Perai,,0,1,1,Rapid Penang/Prasarana regional bus service; no rapid transit included.,National ITS context and Penang/Klang/urban management evidence weak; use basic score.,S013,S018,Medium,Low,Consider adding Penang local traffic control evidence later.
Philippines,Davao City,1,0,2,2,ATO reports low public-transport share; ADB modern bus system under implementation.,Davao bus project includes signal priority/ITS; city smart traffic system evidence is implementation-stage.,S006; S020,S020,High,Medium,"Score 2 reflects major formal bus modernization project, not mature current rapid transit."
Philippines,Manila,49,76,3,3,Metro Manila ATO reports 76 km rapid transit and high public-transport share in profile data.,MMDA adaptive signal system with sensor-based real-time adjustment; broad coverage reported.,S007,S019,High,High,Use Metro Manila as functional area proxy for Manila.
Singapore,Singapore,,,3,3,Mature integrated MRT/LRT/bus system; mode-to-work dataset available.,"LTA GLIDE controls all traffic signals; TMCS around 1,100 cameras.",S012,S011,High,High,Exact PT modal share not extracted here; add from SingStat if a single comparable denominator is selected.
Thailand,Bangkok,,108,3,3,ATO reports 108 km rapid transit: BRT 12 km and Metro 97 km.,Bangkok/BMA/traffic management evidence supports advanced metropolitan ITS/ATC score.,S008,S008,High,Medium,Need official BMA/OTP signal-control percentage if available.
Thailand,Chiang Mai,,0,1,0,RTC Chiang Mai City Bus public transport service with fixed fare.,No clear city-level ITS/signal coordination evidence located.,S025,,Medium,Low,PT evidence is basic bus service; ITS score conservative.
Thailand,Hat Yai,,0,1,0,Limited local bus/van/songthaew evidence; Happy Bus/local van evidence found but weak.,No clear city-level ITS/signal coordination evidence located.,S030,,Low,Low,Weakest row in the dataset; needs official Hat Yai municipal verification.
Thailand,Khon Kaen,,0,1,1,Khon Kaen City Bus / Smart Bus evidence with smart-card and real-time route information.,"Smart city bus/data-platform evidence, but no clear signal coordination coverage.",S026; S027,S026; S027,Medium,Low,Planned LRT is not counted as current rapid transit supply.
Thailand,Nakhon Ratchasima,,0,1,0,E-bus/low-carbon public-transport planning evidence; no mature rapid transit.,No clear city-level ITS/signal coordination evidence located.,S028; S029,,Medium,Low,Current public transport supply uncertain; treat as basic bus/e-bus planning.
Vietnam,Ha Noi,1,36,2,2,ATO reports 36 km rapid transit; private modes 91%; bus use low in profile narrative.,Recent intelligent traffic-control-centre evidence; partly post-study-period.,S009,S035,High,Medium,ITS score should be marked as post-2025 evidence if used with 2024-2025 traffic KPIs.
Vietnam,Ho Chi Minh,1.4,19.7,2,3,HCMC Metro Line 1 opened in Dec 2024; World Bank baseline indicates very low bus share and motorcycle dominance.,Smart traffic management solution integrates 239 signalised intersections; CCTV/VMS/central management.,S021; S022,S023; S024,High,High,ATO Ho Chi Minh PDF link currently redirected to Hanoi during this collection pass; use WB/Metro/SWARCO/Vietnamnet instead.
